912257,1043231,92272,129357,8403,9731,50017,63403,1688,1758,10134,12182
888172,1028035,89341,127173,7935,9358,47635,60954,1447,1656,9771,11687
855694,1005743,81488,117330,7298,8673,43773,55607,1344,1447,8793,11096
869669,1033196,77111,114718,6745,8180,40610,50642,1168,1315,8387,10651
735193,888573,67506,101434,5979,7185,37863,48763,1014,1209,7375,9167
651867,805361,60642,94727,5388,6583,34740,44466,956,1041,6577,8469
598715,751003,56996,89950,5047,6197,33504,42448,900,1096,6157,7896
553233,700731,50168,79686,4255,5473,29901,37672,743,992,5338,7086
511212,664518,45432,75492,3901,5229,27425,35446,689,897,4969,6431
452336,603118,40385,68643,3409,4565,24622,32511,627,811,4387,5927
413505,565419,37093,65174,3048,4265,22069,30075,535,705,3915,5387
377034,533810,33012,60146,2738,3929,19761,27648,496,640,3486,5057
320502,466004,27892,52674,2231,3269,17045,24389,454,574,2958,4475
292481,440185,24659,48294,2006,3042,15161,23319,381,495,2618,4005
261746,409074,20715,42608,1685,2708,13085,20554,338,438,2276,3696
231781,376788,17397,37386,1395,2347,11344,18732,297,397,1977,3237
203501,345770,15494,34559,1326,2154,10333,17515,265,377,1730,2958
760590,1581433,55674,151768,4562,8656,42958,79641,839,1650,6792,13299
