0,552064
0,288765
0,279672
0,176737
0,481758
0,139398
0,179248
0,458364
0,7440
0,56297
0,797000
0,1738
0,1138758
0,23593434
0,6917802
0,7116099
0,1994739
0,40363511
0,468798
0,30352567
0,144921
0,16146739
0,8969530
0,1371153
0,2432733
0,5131171
1,40879642
1,2126692
1,101013
1,321742
1,91455
1,81838
1,461695
1,11009
2,2122
2,349
2,14
2,35
2,93
2,152
2,587
2,53
2,975
2,99
2,669
2,1984
2,9
2,121221
2,595
2,20881
2,20
2,286
2,110
2,708
2,1652
2,2641334
2,2065
2,138300
2,2348
2,85000
2,1358
2,2093
2,247
3,156434
3,4506308
3,94013
3,213372
3,21441
3,189250
3,300360
3,5143982
3,4089570
3,320164
3,116869
3,1542195
3,1894131
3,262229
3,38000
3,127
3,175005
3,526956
3,33736
3,61416
3,213774
3,329343
3,2162610
4,5062
4,213439
4,626457
5,1350508
5,58454
5,167234
5,1683093
5,1083540
5,429501
5,194060
5,2311574
5,26653
5,303197
5,132619
5,154917
5,1237606
5,706250
5,27574
5,668507
5,66684
5,549256
5,860843
5,476485
5,499272
5,3065
5,37186361
5,2381565
5,2094222
5,5828706
5,188819
5,56796
5,68234
5,1084455
5,1171915
5,218783
5,278238
